"Street_Name","Cross_Street"
"Massachusetts Ave",""
"Cambridge St","L"
"MEMORIAL DR",""
"PROSPECT ST","Hampshire St"
"Charles St","FIRST ST"
"Concord Ave",""
"Cambridge St",""
"FIRST ST",""
"HARVARD SQ",""
"Blanchard Rd","Normandy Ave"
"Concord Ave","Concord Ave"
"Rindge Ave",""
"MOUNT AUBURN ST","Aberdeen Way"
"Cambridge Ctr",""
"Massachusetts Ave","Albany St"
"STANDISH ST",""
"PALERMO ST",""
"Concord Ave","Bond St"
"Concord Ave","Concord Ln"
"FRESH POND PKY",""
"Massachusetts Ave",""
"ROSELAND ST",""
"Cambridge St","Columbia St"
"PLEASANT ST",""
"KIRKLAND ST","Trowbridge St"
"Cambridge St","Third St"
"Hampshire St",""
"Kelly Rd",""
"HARVARD ST","DAVIS ST"
"SMITH PL","Concord Ave"
"Binney St",""
"PLEASANT ST","GREEN ST"
"Church St",""
"Concord Ave","Blanchard Rd"
"Massachusetts Ave","HANCOCK ST"
"Binney St","FIRST ST"
"Brattle St","ELIOT ST"
"Cambridge Ctr",""
"POTTER ST","Third St"
"Sixth St",""
"Trowbridge St","HARVARD ST"
"GARDEN ST","Appian Way"
"Massachusetts Ave","PRENTISS ST"
"MOUNT AUBURN ST","JFK St"
"Broadway","Norfolk St"
"Windsor St","HARVARD ST"
"Massachusetts Ave",""
"PLEASANT ST","Allston St"
"Binney St","Cardinal Medeiros Ave"
"Hampshire St","Broadway"
"Massachusetts Ave",""
"Broadway","Tremont St"
"ROBERTS RD","Cambridge St"
"Webster Ave","Columbia St"
"Hampshire St",""
"Cambridge St","Dana St"
"Cross St",""
"MEMORIAL DR",""
"MAIN ST","Windsor St"
"JARVIS ST","Massachusetts Ave"
"JFK St","MOUNT AUBURN ST"
