"id","Month","Day","Year","Time","AM/PM","Day_of_Week","Object_1","Object_2","Street_Number","Street_Name","Cross_Street","Location"
25017,11,1,2010,"05:56:00","AM","Monday","Auto","Fixed Object",1,"SHADY HILL RD","SCOTT ST","1 SHADY HILL RD Cambridge, MA"
31269,9,10,2012,"05:57:00","AM","Monday","Motorcycle","Auto","","Clark St","Webster Ave"," Clark St & Webster Ave Cambridge, MA"
25289,1,4,2011,"05:58:00","AM","Tuesday","Auto","Parked Vehicle",733,"Concord Ave","","733 Concord Ave Cambridge, MA"
25429,1,29,2011,"05:58:00","AM","Saturday","Auto","Taxi","","Columbia St","Broadway"," Columbia St & Broadway Cambridge, MA"
25397,1,24,2011,"06:00:00","AM","Monday","Auto","Parked Vehicle",1,"White St","","1 White St Cambridge, MA"
25550,2,9,2011,"06:00:00","AM","Wednesday","Auto","Auto","","Richdale Ave","Walden St"," Richdale Ave & Walden St Cambridge, MA"
28588,1,1,2013,"06:00:00","AM","Tuesday","Auto","Auto","","Cambridge St","Hampshire St"," Cambridge St & Hampshire St Cambridge, MA"
28784,2,22,2013,"06:00:00","AM","Friday","Auto","Truck",49,"RESERVOIR ST","","49 RESERVOIR ST Cambridge, MA"
28839,2,26,2013,"06:00:00","AM","","Auto","Parked Vehicle",402,"Rindge Ave","","402 Rindge Ave Cambridge, MA"
29361,7,5,2013,"06:00:00","AM","Friday","Auto","Pedestrian","","Brattle St","PALMER ST"," Brattle St & PALMER ST Cambridge, MA"
29475,8,6,2013,"06:00:00","AM","Tuesday","Auto","Parked Vehicle",19,"Hollis St","","19 Hollis St Cambridge, MA"
30497,3,11,2012,"06:00:00","AM","Sunday","Auto","Parked Vehicle","","Brookline St","EMILY ST"," Brookline St & EMILY ST Cambridge, MA"
30836,5,31,2012,"06:00:00","AM","Thursday","Auto","Parked Vehicle",246,"Norfolk St","","246 Norfolk St Cambridge, MA"
31006,7,11,2012,"06:00:00","AM","","Auto","Parked Vehicle","","FIRST ST","Thorndike St"," FIRST ST & Thorndike St Cambridge, MA"
31121,8,8,2012,"06:00:00","AM","Wednesday","Auto","Parked Vehicle",255,"Bent St","","255 Bent St Cambridge, MA"
31368,10,2,2012,"06:00:00","AM","Tuesday","Auto","Parked Vehicle","","Massachusetts Ave",""," Massachusetts Ave &  Cambridge, MA"
31444,10,18,2012,"06:00:00","AM","Thursday","Auto","Parked Vehicle",22,"Craigie St","","22 Craigie St Cambridge, MA"
31655,12,7,2012,"06:00:00","AM","","Auto","Fixed Object","","Cardinal Medeiros Ave","Cambridge St"," Cardinal Medeiros Ave & Cambridge St Cambridge, M"
31453,10,20,2012,"06:05:00","AM","Saturday","Auto","Fixed Object",241,"Cardinal Medeiros Ave","","241 Cardinal Medeiros Ave Cambridge, MA"
25075,11,16,2010,"06:08:00","AM","Tuesday","Auto","Pedestrian",575,"Massachusetts Ave","","575 Massachusetts Ave Cambridge, MA"
24797,9,20,2010,"06:10:00","AM","Monday","Auto","Auto","","HURON AVE","FRESH POND PKY"," HURON AVE & FRESH POND PKY Cambridge, MA"
24154,5,5,2010,"06:12:00","AM","Wednesday","Taxi","Moped","","Massachusetts Ave","Sidney St"," Massachusetts Ave & Sidney St Cambridge, MA"
29020,4,23,2013,"06:13:00","AM","Tuesday","Auto","Auto","","PEARL ST","ERIE ST"," PEARL ST & ERIE ST Cambridge, MA"
26082,6,12,2011,"06:14:00","AM","Sunday","Auto","Auto",362,"Rindge Ave","","362 Rindge Ave Cambridge, MA"
25837,4,10,2011,"06:15:00","AM","Sunday","Auto","Parked Vehicle",777,"MEMORIAL DR","","777 MEMORIAL DR Cambridge, MA"
29738,10,5,2013,"06:15:00","AM","Saturday","Auto","Fixed Object",1900,"Massachusetts Ave","","1900 Massachusetts Ave Cambridge, MA"
31602,11,24,2012,"06:15:00","AM","Saturday","Auto","Parked Vehicle","","HAWTHORNE PARK","MEMORIAL DR"," HAWTHORNE PARK & MEMORIAL DR Cambridge, MA"
25560,2,11,2011,"06:20:00","AM","Friday","Auto","Auto","","Massachusetts Ave","RICHARD AVE"," Massachusetts Ave & RICHARD AVE Cambridge, MA"
29454,7,29,2013,"06:20:00","AM","Monday","Auto","Parked Vehicle",734,"Massachusetts Ave","PLEASANT ST","734 Massachusetts Ave Cambridge, MA"
31345,9,27,2012,"06:20:00","AM","Friday","Auto","Bicycle","","MOUNT AUBURN ST","Brattle St"," MOUNT AUBURN ST & Brattle St Cambridge, MA"
23846,2,26,2010,"06:25:00","AM","Friday","Auto","Auto","","Cambridge St","SPRINGFIELD ST"," Cambridge St & SPRINGFIELD ST Cambridge, MA"
26384,8,23,2011,"06:25:00","AM","Tuesday","Auto","Auto","","HANCOCK ST","Broadway"," HANCOCK ST & Broadway Cambridge, MA"
26370,8,19,2011,"06:27:00","AM","Friday","Auto","Pedestrian","","Massachusetts Ave",""," Massachusetts Ave &  Cambridge, MA"
