"Month","Day","Year","Location","Object_1","Object_2","Events"
2,11,2010,"89 Inman St Cambridge, MA","Auto","Parked Vehicle",""
2,12,2010," MASON ST & PHILLIPS PL Cambridge, MA","Auto","Auto",""
2,12,2010," MASON ST & PHILLIPS PL Cambridge, MA","Auto","Auto",""
2,12,2010," LINNAEAN ST & Avon Hill St Cambridge, MA","Auto","Auto",""
2,12,2010," LINNAEAN ST & Avon Hill St Cambridge, MA","Auto","Auto",""
2,12,2010," MACARELLI WAY & MARION ST Cambridge, MA","Auto","Auto",""
2,12,2010," MACARELLI WAY & MARION ST Cambridge, MA","Auto","Auto",""
2,12,2010," Appleton St & HIGHLAND AVE Cambridge, MA","Auto","Bicycle",""
2,12,2010," Appleton St & HIGHLAND AVE Cambridge, MA","Auto","Bicycle",""
2,12,2010," SMITH PL &  Cambridge, MA","Auto","Auto",""
2,12,2010," SMITH PL &  Cambridge, MA","Auto","Auto",""
2,13,2010,"77 Massachusetts Ave Cambridge, MA","Auto","Taxi",""
2,13,2010,"77 Massachusetts Ave Cambridge, MA","Auto","Taxi",""
2,13,2010," KIRKLAND ST & MYRTLE AVE Cambridge, MA","Auto","Auto",""
2,13,2010," KIRKLAND ST & MYRTLE AVE Cambridge, MA","Auto","Auto",""
2,13,2010," Massachusetts Ave & DOUGLASS ST Cambridge, MA","Auto","Bicycle",""
2,13,2010," Massachusetts Ave & DOUGLASS ST Cambridge, MA","Auto","Bicycle",""
2,14,2010,"48 STEARNS ST Cambridge, MA","Auto","Auto",""
2,14,2010,"48 STEARNS ST Cambridge, MA","Auto","Auto",""
2,14,2010,"35 PLEASANT ST Cambridge, MA","Auto","Auto",""
2,14,2010,"35 PLEASANT ST Cambridge, MA","Auto","Auto",""
2,15,2010," River St & Franklin St Cambridge, MA","Auto","Auto",""
2,15,2010," River St & Franklin St Cambridge, MA","Auto","Auto",""
2,15,2010,"57 HURON AVE Cambridge, MA","Auto","Auto",""
2,15,2010,"57 HURON AVE Cambridge, MA","Auto","Auto",""
2,15,2010," Cambridge St & HOVEY AVE Cambridge, MA","Auto","Auto",""
2,15,2010," Cambridge St & HOVEY AVE Cambridge, MA","Auto","Auto",""
2,16,2010,"41 Magee St Cambridge, MA","Auto","Parked Vehicle","Fog-Rain-Sn"
2,16,2010,"41 Magee St Cambridge, MA","Auto","Parked Vehicle","Fog-Rain-Snow"
2,16,2010," Cambridge St & Columbia St Cambridge, MA","Auto","Auto","Fog-Rain-Sn"
2,16,2010," Cambridge St & Columbia St Cambridge, MA","Auto","Auto","Fog-Rain-Snow"
2,16,2010,"120 PROSPECT ST Cambridge, MA","Auto","Truck","Fog-Rain-Sn"
2,16,2010,"120 PROSPECT ST Cambridge, MA","Auto","Truck","Fog-Rain-Snow"
2,14,2010," QUINCY ST & Cambridge St Cambridge, MA","Auto","Auto",""
2,14,2010," QUINCY ST & Cambridge St Cambridge, MA","Auto","Auto",""
2,17,2010," Brattle St & Sparks St Cambridge, MA","Truck","Auto","Snow"
2,17,2010," Brattle St & Sparks St Cambridge, MA","Truck","Auto","Snow"
2,17,2010," MAIN ST & Osborn St Cambridge, MA","Auto","Pedestrian","Snow"
2,17,2010," MAIN ST & Osborn St Cambridge, MA","Auto","Pedestrian","Snow"
2,17,2010," FIRST ST & Binney St Cambridge, MA","Auto","Auto","Snow"
2,17,2010," FIRST ST & Binney St Cambridge, MA","Auto","Auto","Snow"
2,18,2010," Brattle St & Appian Way Cambridge, MA","Auto","Pedestrian",""
2,18,2010," Brattle St & Appian Way Cambridge, MA","Auto","Pedestrian",""
2,18,2010," DOUGLASS ST & Massachusetts Ave Cambridge, MA","Auto","Auto",""
2,18,2010," DOUGLASS ST & Massachusetts Ave Cambridge, MA","Auto","Auto",""
2,15,2010," Inman St & Massachusetts Ave Cambridge, MA","Auto","Auto",""
2,15,2010," Inman St & Massachusetts Ave Cambridge, MA","Auto","Auto",""
2,16,2010," MOUNT AUBURN ST &  Cambridge, MA","Auto","Fixed Object","Fog-Rain-Sn"
2,16,2010," MOUNT AUBURN ST &  Cambridge, MA","Auto","Fixed Object","Fog-Rain-Snow"
2,18,2010,"68 Brookline St Cambridge, MA","Auto","Auto",""
2,18,2010,"68 Brookline St Cambridge, MA","Auto","Auto",""
2,21,2010," Callender St & Magee St Cambridge, MA","Auto","Fixed Object",""
