"id","Month","Day","Year","Location","Events"
24361,6,18,2010,"100 Cambridgeside Pl Cambridge, MA",""
24361,6,18,2010,"100 Cambridgeside Pl Cambridge, MA",""
24362,6,19,2010,"27 Fairmont Ave Cambridge, MA",""
24362,6,19,2010,"27 Fairmont Ave Cambridge, MA",""
24363,6,19,2010," HURON AVE & Appleton St Cambridge, MA",""
24363,6,19,2010," HURON AVE & Appleton St Cambridge, MA",""
24364,6,20,2010," SPRING ST & Third St Cambridge, MA","Rain-Thunde"
24364,6,20,2010," SPRING ST & Third St Cambridge, MA","Rain-Thunderstorm"
24365,6,21,2010," MOUNT AUBURN ST & Putnam Ave Cambridge, MA",""
24365,6,21,2010," MOUNT AUBURN ST & Putnam Ave Cambridge, MA",""
24366,6,21,2010,"1920 Massachusetts Ave Cambridge, MA",""
24366,6,21,2010,"1920 Massachusetts Ave Cambridge, MA",""
24367,6,21,2010,"679 Concord Ave Cambridge, MA",""
24367,6,21,2010,"679 Concord Ave Cambridge, MA",""
24368,6,20,2010," Massachusetts Ave & Shepard St Cambridge, MA","Rain-Thunde"
24368,6,20,2010," Massachusetts Ave & Shepard St Cambridge, MA","Rain-Thunderstorm"
24369,6,17,2010,"18 Craigie St Cambridge, MA",""
24369,6,17,2010,"18 Craigie St Cambridge, MA",""
24370,6,18,2010,"89 Clifton St Cambridge, MA",""
24370,6,18,2010,"89 Clifton St Cambridge, MA",""
24371,6,21,2010," Rindge Ave & SARGENT ST Cambridge, MA",""
24371,6,21,2010," Rindge Ave & SARGENT ST Cambridge, MA",""
24372,6,20,2010," GARDEN ST & Appian Way Cambridge, MA","Rain-Thunde"
24372,6,20,2010," GARDEN ST & Appian Way Cambridge, MA","Rain-Thunderstorm"
24373,6,22,2010,"152 Rindge Ave Cambridge, MA",""
24373,6,22,2010,"152 Rindge Ave Cambridge, MA",""
24374,6,21,2010,"85 Bishop Allen Dr Cambridge, MA",""
24374,6,21,2010,"85 Bishop Allen Dr Cambridge, MA",""
24375,6,23,2010," FIFTH ST & Thorndike St Cambridge, MA","Rain"
24375,6,23,2010," FIFTH ST & Thorndike St Cambridge, MA","Rain"
24376,6,23,2010," Broadway & Ames St Cambridge, MA","Rain"
24376,6,23,2010," Broadway & Ames St Cambridge, MA","Rain"
24377,6,22,2010,"28 Camp St Cambridge, MA",""
24377,6,22,2010,"28 Camp St Cambridge, MA",""
24378,6,24,2010," HURON AVE & Appleton Pl Cambridge, MA","Rain-Thunde"
24378,6,24,2010," HURON AVE & Appleton Pl Cambridge, MA","Rain-Thunderstorm"
24379,6,25,2010," Hampshire St & PROSPECT ST Cambridge, MA",""
24379,6,25,2010," Hampshire St & PROSPECT ST Cambridge, MA",""
24380,6,25,2010," Massachusetts Ave & Amherst St Cambridge, MA",""
24380,6,25,2010," Massachusetts Ave & Amherst St Cambridge, MA",""
24381,6,26,2010,"77 Massachusetts Ave Cambridge, MA","Rain"
24381,6,26,2010,"77 Massachusetts Ave Cambridge, MA","Rain"
24382,6,23,2010,"22 Robinson St Cambridge, MA","Rain"
24382,6,23,2010,"22 Robinson St Cambridge, MA","Rain"
24383,6,24,2010," Raymond St & GRAY GARDENS EAST Cambridge, MA","Rain-Thunde"
24383,6,24,2010," Raymond St & GRAY GARDENS EAST Cambridge, MA","Rain-Thunderstorm"
24384,6,24,2010," Albany St & PACIFIC ST Cambridge, MA","Rain-Thunde"
24384,6,24,2010," Albany St & PACIFIC ST Cambridge, MA","Rain-Thunderstorm"
24385,6,25,2010," Third St & Binney St Cambridge, MA",""
24385,6,25,2010," Third St & Binney St Cambridge, MA",""
24386,6,25,2010,"211 Alewife Brook Pky Cambridge, MA",""
24386,6,25,2010,"211 Alewife Brook Pky Cambridge, MA",""
24387,6,26,2010,"44 Second St Cambridge, MA","Rain"
24387,6,26,2010,"44 Second St Cambridge, MA","Rain"
24389,6,26,2010,"2161 Massachusetts Ave Cambridge, MA","Rain"
24389,6,26,2010,"2161 Massachusetts Ave Cambridge, MA","Rain"
24390,6,27,2010,"46 Dana St Cambridge, MA","Rain"
24390,6,27,2010,"46 Dana St Cambridge, MA","Rain"
24391,6,28,2010,"1334 Cambridge St Cambridge, MA",""
24391,6,28,2010,"1334 Cambridge St Cambridge, MA",""
24392,6,26,2010,"44 Second St Cambridge, MA","Rain"
24392,6,26,2010,"44 Second St Cambridge, MA","Rain"
24393,6,28,2010,"318 Broadway Cambridge, MA",""
24393,6,28,2010,"318 Broadway Cambridge, MA",""
24394,6,29,2010," Cambridge St & QUINCY ST Cambridge, MA",""
24394,6,29,2010," Cambridge St & QUINCY ST Cambridge, MA",""
24395,6,29,2010," Brookline St & GREEN ST Cambridge, MA",""
24395,6,29,2010," Brookline St & GREEN ST Cambridge, MA",""
24396,6,29,2010,"245 Massachusetts Ave Cambridge, MA",""
24396,6,29,2010,"245 Massachusetts Ave Cambridge, MA",""
24397,6,29,2010," Bishop Allen Dr &  Cambridge, MA",""
24397,6,29,2010," Bishop Allen Dr &  Cambridge, MA",""
24398,6,24,2010," PLYMOUTH ST & Webster Ave Cambridge, MA","Rain-Thunde"
24398,6,24,2010," PLYMOUTH ST & Webster Ave Cambridge, MA","Rain-Thunderstorm"
24399,6,30,2010,"340 River St Cambridge, MA",""
24399,6,30,2010,"340 River St Cambridge, MA",""
24401,6,29,2010,"373 Broadway Cambridge, MA",""
24401,6,29,2010,"373 Broadway Cambridge, MA",""
24402,6,30,2010," Massachusetts Ave & Inman St Cambridge, MA",""
24402,6,30,2010," Massachusetts Ave & Inman St Cambridge, MA",""
24403,6,30,2010,"264 Walden St Cambridge, MA",""
24403,6,30,2010,"264 Walden St Cambridge, MA",""
24404,7,1,2010,"41 Church St Cambridge, MA",""
24404,7,1,2010,"41 Church St Cambridge, MA",""
24405,7,1,2010,"30 JFK St Cambridge, MA",""
24405,7,1,2010,"30 JFK St Cambridge, MA",""
24406,7,1,2010,"319 River St Cambridge, MA",""
24406,7,1,2010,"319 River St Cambridge, MA",""
24407,7,1,2010," Massachusetts Ave & ESSEX ST Cambridge, MA",""
24407,7,1,2010," Massachusetts Ave & ESSEX ST Cambridge, MA",""
24408,7,1,2010," Allston St & PEARL ST Cambridge, MA",""
24408,7,1,2010," Allston St & PEARL ST Cambridge, MA",""
24409,7,2,2010," Broadway & Binney St Cambridge, MA",""
24409,7,2,2010," Broadway & Binney St Cambridge, MA",""
24410,7,2,2010," Massachusetts Ave & DOVER ST Cambridge, MA",""
24410,7,2,2010," Massachusetts Ave & DOVER ST Cambridge, MA",""
24411,7,2,2010,"241 MOUNT AUBURN ST Cambridge, MA",""
24411,7,2,2010,"241 MOUNT AUBURN ST Cambridge, MA",""
24412,7,2,2010," Massachusetts Ave & DAVENPORT ST Cambridge, MA",""
24412,7,2,2010," Massachusetts Ave & DAVENPORT ST Cambridge, MA",""
24413,7,3,2010,"201 Monsignor OBrien Hwy Cambridge, MA",""
24413,7,3,2010,"201 Monsignor OBrien Hwy Cambridge, MA",""
24414,7,3,2010,"100 Cambridgeside Pl Cambridge, MA",""
24414,7,3,2010,"100 Cambridgeside Pl Cambridge, MA",""
24415,7,3,2010,"378 Massachusetts Ave Cambridge, MA",""
24415,7,3,2010,"378 Massachusetts Ave Cambridge, MA",""
24416,7,4,2010,"92 SCIARAPPA ST Cambridge, MA",""
24416,7,4,2010,"92 SCIARAPPA ST Cambridge, MA",""
24417,7,4,2010," Broadway & Columbia St Cambridge, MA",""
24417,7,4,2010," Broadway & Columbia St Cambridge, MA",""
24418,7,4,2010," Western Ave & Blackstone St Cambridge, MA",""
24418,7,4,2010," Western Ave & Blackstone St Cambridge, MA",""
24419,7,4,2010," Allston St & PLEASANT ST Cambridge, MA",""
24419,7,4,2010," Allston St & PLEASANT ST Cambridge, MA",""
24420,7,5,2010," Ames St & Amherst St Cambridge, MA",""
24420,7,5,2010," Ames St & Amherst St Cambridge, MA",""
24421,7,5,2010," Jackson St & Rindge Ave Cambridge, MA",""
24421,7,5,2010," Jackson St & Rindge Ave Cambridge, MA",""
24422,7,6,2010," Putnam Ave & Brookline St Cambridge, MA",""
24422,7,6,2010," Putnam Ave & Brookline St Cambridge, MA",""
24423,7,6,2010," Western Ave & Blackstone St Cambridge, MA",""
24423,7,6,2010," Western Ave & Blackstone St Cambridge, MA",""
24424,7,6,2010,"120 Vassar St Cambridge, MA",""
24424,7,6,2010,"120 Vassar St Cambridge, MA",""
24425,7,6,2010," Sidney St & PACIFIC ST Cambridge, MA",""
24425,7,6,2010," Sidney St & PACIFIC ST Cambridge, MA",""
24426,7,8,2010,"386 Windsor St Cambridge, MA",""
24426,7,8,2010,"386 Windsor St Cambridge, MA",""
24427,7,7,2010," Massachusetts Ave & Cedar St Cambridge, MA",""
24427,7,7,2010," Massachusetts Ave & Cedar St Cambridge, MA",""
24428,7,7,2010," LINNAEAN ST & Massachusetts Ave Cambridge, MA",""
24428,7,7,2010," LINNAEAN ST & Massachusetts Ave Cambridge, MA",""
24429,7,7,2010," Blanchard Rd & Concord Ave Cambridge, MA",""
24429,7,7,2010," Blanchard Rd & Concord Ave Cambridge, MA",""
24430,7,8,2010," Massachusetts Ave & DAVENPORT ST Cambridge, MA",""
24430,7,8,2010," Massachusetts Ave & DAVENPORT ST Cambridge, MA",""
24431,7,8,2010," Rindge Ave & REED ST Cambridge, MA",""
24431,7,8,2010," Rindge Ave & REED ST Cambridge, MA",""
24432,7,7,2010,"33 Porter St Cambridge, MA",""
24432,7,7,2010,"33 Porter St Cambridge, MA",""
24433,7,8,2010," Sixth St & Rogers St Cambridge, MA",""
24433,7,8,2010," Sixth St & Rogers St Cambridge, MA",""
24434,7,7,2010," JFK St & ELIOT ST Cambridge, MA",""
24434,7,7,2010," JFK St & ELIOT ST Cambridge, MA",""
24435,7,10,2010," Massachusetts Ave & JARVIS ST Cambridge, MA","Fog-Rain"
24435,7,10,2010," Massachusetts Ave & JARVIS ST Cambridge, MA","Fog-Rain"
24436,7,9,2010,"1 Hampshire St Cambridge, MA","Rain"
24436,7,9,2010,"1 Hampshire St Cambridge, MA","Rain"
24437,7,9,2010," Massachusetts Ave & HARVARD SQ Cambridge, MA","Rain"
24437,7,9,2010," Massachusetts Ave & HARVARD SQ Cambridge, MA","Rain"
