"id","Month","Day","Year","Location","Object_1","Object_2","Events"
23777,2,9,2010," MOUNT AUBURN ST & Massachusetts Ave Cambridge, MA","Auto","Auto",""
23778,2,9,2010," HARVARD ST & HANCOCK ST Cambridge, MA","Auto","Auto",""
23778,2,9,2010," HARVARD ST & HANCOCK ST Cambridge, MA","Auto","Auto",""
23779,2,9,2010,"110 MOUNT AUBURN ST Cambridge, MA","Auto","Auto",""
23779,2,9,2010,"110 MOUNT AUBURN ST Cambridge, MA","Auto","Auto",""
23780,2,10,2010,"397 Walden St Cambridge, MA","Auto","Auto","Rain-Snow"
23780,2,10,2010,"397 Walden St Cambridge, MA","Auto","Auto","Rain-Snow"
23781,2,10,2010," Second St & Charles St Cambridge, MA","Auto","Auto","Rain-Snow"
23781,2,10,2010," Second St & Charles St Cambridge, MA","Auto","Auto","Rain-Snow"
23782,2,10,2010,"15 Inman St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23782,2,10,2010,"15 Inman St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23783,2,10,2010," JFK St & MOUNT AUBURN ST Cambridge, MA","Auto","Auto","Rain-Snow"
23783,2,10,2010," JFK St & MOUNT AUBURN ST Cambridge, MA","Auto","Auto","Rain-Snow"
23784,2,9,2010,"221 MOUNT AUBURN ST Cambridge, MA","Auto","Pedestrian",""
23784,2,9,2010,"221 MOUNT AUBURN ST Cambridge, MA","Auto","Pedestrian",""
23785,1,11,2010," Broadway & FELTON ST Cambridge, MA","Auto","Auto",""
23785,1,11,2010," Broadway & FELTON ST Cambridge, MA","Auto","Auto",""
23786,2,11,2010," Broadway & Antrim St Cambridge, MA","Auto","Auto",""
23786,2,11,2010," Broadway & Antrim St Cambridge, MA","Auto","Auto",""
23787,2,11,2010,"1572 Massachusetts Ave Cambridge, MA","Auto","Parked Vehicle",""
23787,2,11,2010,"1572 Massachusetts Ave Cambridge, MA","Auto","Parked Vehicle",""
23788,2,11,2010,"78 Coolidge Ave Cambridge, MA","Auto","Fixed Object",""
23788,2,11,2010,"78 Coolidge Ave Cambridge, MA","Auto","Fixed Object",""
23789,2,11,2010,"89 Inman St Cambridge, MA","Auto","Parked Vehicle",""
23789,2,11,2010,"89 Inman St Cambridge, MA","Auto","Parked Vehicle",""
23790,2,12,2010," MASON ST & PHILLIPS PL Cambridge, MA","Auto","Auto",""
23790,2,12,2010," MASON ST & PHILLIPS PL Cambridge, MA","Auto","Auto",""
23791,2,12,2010," LINNAEAN ST & Avon Hill St Cambridge, MA","Auto","Auto",""
23791,2,12,2010," LINNAEAN ST & Avon Hill St Cambridge, MA","Auto","Auto",""
23792,2,12,2010," MACARELLI WAY & MARION ST Cambridge, MA","Auto","Auto",""
23792,2,12,2010," MACARELLI WAY & MARION ST Cambridge, MA","Auto","Auto",""
23793,2,12,2010," Appleton St & HIGHLAND AVE Cambridge, MA","Auto","Bicycle",""
23793,2,12,2010," Appleton St & HIGHLAND AVE Cambridge, MA","Auto","Bicycle",""
23794,2,12,2010," SMITH PL &  Cambridge, MA","Auto","Auto",""
23794,2,12,2010," SMITH PL &  Cambridge, MA","Auto","Auto",""
23795,2,13,2010,"77 Massachusetts Ave Cambridge, MA","Auto","Taxi",""
23795,2,13,2010,"77 Massachusetts Ave Cambridge, MA","Auto","Taxi",""
23796,2,13,2010," KIRKLAND ST & MYRTLE AVE Cambridge, MA","Auto","Auto",""
23796,2,13,2010," KIRKLAND ST & MYRTLE AVE Cambridge, MA","Auto","Auto",""
23797,2,13,2010," Massachusetts Ave & DOUGLASS ST Cambridge, MA","Auto","Bicycle",""
23797,2,13,2010," Massachusetts Ave & DOUGLASS ST Cambridge, MA","Auto","Bicycle",""
23798,2,14,2010,"48 STEARNS ST Cambridge, MA","Auto","Auto",""
23798,2,14,2010,"48 STEARNS ST Cambridge, MA","Auto","Auto",""
23799,2,14,2010,"35 PLEASANT ST Cambridge, MA","Auto","Auto",""
23799,2,14,2010,"35 PLEASANT ST Cambridge, MA","Auto","Auto",""
23800,2,15,2010," River St & Franklin St Cambridge, MA","Auto","Auto",""
23800,2,15,2010," River St & Franklin St Cambridge, MA","Auto","Auto",""
23801,2,15,2010,"57 HURON AVE Cambridge, MA","Auto","Auto",""
23801,2,15,2010,"57 HURON AVE Cambridge, MA","Auto","Auto",""
23802,2,15,2010," Cambridge St & HOVEY AVE Cambridge, MA","Auto","Auto",""
23802,2,15,2010," Cambridge St & HOVEY AVE Cambridge, MA","Auto","Auto",""
23804,2,16,2010,"41 Magee St Cambridge, MA","Auto","Parked Vehicle","Fog-Rain-Sn"
23804,2,16,2010,"41 Magee St Cambridge, MA","Auto","Parked Vehicle","Fog-Rain-Snow"
23805,2,16,2010," Cambridge St & Columbia St Cambridge, MA","Auto","Auto","Fog-Rain-Sn"
